¸ñÍø±àºÅ,wkt×ø±ê
267,"MULTIPOLYGON (((423943.69714851433 4398540.4441694766, 424943.69714851433 4398540.4441694766, 424943.69714851433 4399540.4441694766, 423943.69714851433 4399540.4441694766, 423943.69714851433 4398540.4441694766)))"
268,"MULTIPOLYGON (((424943.69714851433 4398540.4441694766, 425943.69714851433 4398540.4441694766, 425943.69714851433 4399540.4441694766, 424943.69714851433 4399540.4441694766, 424943.69714851433 4398540.4441694766)))"
269,"MULTIPOLYGON (((425943.69714851433 4398540.4441694766, 426943.69714851433 4398540.4441694766, 426943.69714851433 4399540.4441694766, 425943.69714851433 4399540.4441694766, 425943.69714851433 4398540.4441694766)))"
270,"MULTIPOLYGON (((426943.69714851433 4398540.4441694766, 427943.69714851433 4398540.4441694766, 427943.69714851433 4399540.4441694766, 426943.69714851433 4399540.4441694766, 426943.69714851433 4398540.4441694766)))"
271,"MULTIPOLYGON (((427943.69714851433 4398540.4441694766, 428943.69714851433 4398540.4441694766, 428943.69714851433 4399540.4441694766, 427943.69714851433 4399540.4441694766, 427943.69714851433 4398540.4441694766)))"
272,"MULTIPOLYGON (((428943.69714851433 4398540.4441694766, 429943.69714851433 4398540.4441694766, 429943.69714851433 4399540.4441694766, 428943.69714851433 4399540.4441694766, 428943.69714851433 4398540.4441694766)))"
273,"MULTIPOLYGON (((429943.69714851433 4398540.4441694766, 430943.69714851433 4398540.4441694766, 430943.69714851433 4399540.4441694766, 429943.69714851433 4399540.4441694766, 429943.69714851433 4398540.4441694766)))"
274,"MULTIPOLYGON (((430943.69714851433 4398540.4441694766, 431943.69714851433 4398540.4441694766, 431943.69714851433 4399540.4441694766, 430943.69714851433 4399540.4441694766, 430943.69714851433 4398540.4441694766)))"
275,"MULTIPOLYGON (((431943.69714851433 4398540.4441694766, 432943.69714851433 4398540.4441694766, 432943.69714851433 4399540.4441694766, 431943.69714851433 4399540.4441694766, 431943.69714851433 4398540.4441694766)))"
276,"MULTIPOLYGON (((432943.69714851433 4398540.4441694766, 433943.69714851433 4398540.4441694766, 433943.69714851433 4399540.4441694766, 432943.69714851433 4399540.4441694766, 432943.69714851433 4398540.4441694766)))"
